transaction_id,customer_id,product_name,transaction_date
1,1051,iPhone 14,2022-01-01 00:00:00
2,1092,Magic Keyboard,2022-01-01 00:01:00
3,1014,AirPods Max,2022-01-01 00:02:00
4,1071,Apple Watch,2022-01-01 00:03:00
5,1060,MacBook 16,2022-01-01 00:04:00
6,1020,AirPods Max,2022-01-01 00:05:00
7,1082,iPhone 14,2022-01-01 00:06:00
8,1086,iPhone 12,2022-01-01 00:07:00
9,1074,AirPods Pro,2022-01-01 00:08:00
10,1074,MacBook Pro,2022-01-01 00:09:00
11,1087,Apple Watch,2022-01-01 00:10:00
12,1099,AirPods Pro,2022-01-01 00:11:00
13,1023,iPad Mini,2022-01-01 00:12:00
14,1002,iPad Pro,2022-01-01 00:13:00
15,1021,Mac Mini,2022-01-01 00:14:00
16,1052,iPhone SE,2022-01-01 00:15:00
17,1001,iPhone SE,2022-01-01 00:16:00
18,1087,AirPods Max,2022-01-01 00:17:00
19,1029,iPad 9,2022-01-01 00:18:00
20,1037,Apple Watch,2022-01-01 00:19:00
21,1001,iPad 9,2022-01-01 00:20:00
22,1063,MacBook Pro,2022-01-01 00:21:00
23,1059,Apple Watch,2022-01-01 00:22:00
24,1020,Apple Watch,2022-01-01 00:23:00
25,1032,MacBook 16,2022-01-01 00:24:00
26,1075,AirPods,2022-01-01 00:25:00
27,1057,AirTag,2022-01-01 00:26:00
28,1021,HomePod,2022-01-01 00:27:00
29,1088,iPad Pro,2022-01-01 00:28:00
30,1048,AirPods Max,2022-01-01 00:29:00
31,1090,iPad Mini,2022-01-01 00:30:00
32,1058,iPhone SE,2022-01-01 00:31:00
33,1041,AirPods,2022-01-01 00:32:00
34,1091,iPhone 12,2022-01-01 00:33:00
35,1059,AirPods,2022-01-01 00:34:00
36,1079,AirPods,2022-01-01 00:35:00
37,1014,iPad Pro,2022-01-01 00:36:00
38,1061,HomePod,2022-01-01 00:37:00
39,1061,iPad Mini,2022-01-01 00:38:00
40,1046,AirTag,2022-01-01 00:39:00
41,1061,MacBook Pro,2022-01-01 00:40:00
42,1050,Apple Watch,2022-01-01 00:41:00
43,1054,Magic Keyboard,2022-01-01 00:42:00
44,1063,Apple Watch,2022-01-01 00:43:00
45,1002,Magic Keyboard,2022-01-01 00:44:00
46,1050,MacBook Air,2022-01-01 00:45:00
47,1006,MacBook 16,2022-01-01 00:46:00
48,1020,iPad Pro,2022-01-01 00:47:00
49,1072,MacBook Air,2022-01-01 00:48:00
50,1038,HomePod,2022-01-01 00:49:00
51,1017,iMac,2022-01-01 00:50:00
52,1003,iPad Mini,2022-01-01 00:51:00
53,1088,MacBook 16,2022-01-01 00:52:00
54,1059,MacBook Pro,2022-01-01 00:53:00
55,1013,iPhone SE,2022-01-01 00:54:00
56,1008,MacBook Pro,2022-01-01 00:55:00
57,1089,AirPods,2022-01-01 00:56:00
58,1052,iPhone 14,2022-01-01 00:57:00
59,1001,AirPods,2022-01-01 00:58:00
60,1083,MacBook Pro,2022-01-01 00:59:00
61,1091,HomePod,2022-01-01 01:00:00
62,1059,AirPods Max,2022-01-01 01:01:00
63,1070,AirPods Pro,2022-01-01 01:02:00
64,1043,iPad Pro,2022-01-01 01:03:00
65,1007,AirPods,2022-01-01 01:04:00
66,1046,MacBook 16,2022-01-01 01:05:00
67,1034,iMac,2022-01-01 01:06:00
68,1077,AirTag,2022-01-01 01:07:00
69,1080,iPhone SE,2022-01-01 01:08:00
70,1035,iPhone 13,2022-01-01 01:09:00
71,1049,MacBook 16,2022-01-01 01:10:00
72,1003,AirTag,2022-01-01 01:11:00
73,1001,AirPods Pro,2022-01-01 01:12:00
74,1005,AirTag,2022-01-01 01:13:00
75,1053,iPad 9,2022-01-01 01:14:00
76,1003,iPhone 12,2022-01-01 01:15:00
77,1053,Magic Keyboard,2022-01-01 01:16:00
78,1092,iPad Pro,2022-01-01 01:17:00
79,1062,MacBook Air,2022-01-01 01:18:00
80,1017,Mac Mini,2022-01-01 01:19:00
81,1089,iPhone 14,2022-01-01 01:20:00
82,1043,AirPods,2022-01-01 01:21:00
83,1033,AirTag,2022-01-01 01:22:00
84,1073,iPhone 12,2022-01-01 01:23:00
85,1061,MacBook Air,2022-01-01 01:24:00
86,1099,iPhone 12,2022-01-01 01:25:00
87,1013,iPhone 13,2022-01-01 01:26:00
88,1094,Mac Mini,2022-01-01 01:27:00
89,1047,AirPods Max,2022-01-01 01:28:00
90,1014,Magic Keyboard,2022-01-01 01:29:00
91,1071,iPad Pro,2022-01-01 01:30:00
92,1077,iPhone 14,2022-01-01 01:31:00
93,1086,AirPods,2022-01-01 01:32:00
94,1061,MacBook Air,2022-01-01 01:33:00
95,1039,iPad 9,2022-01-01 01:34:00
96,1084,AirTag,2022-01-01 01:35:00
97,1079,Magic Keyboard,2022-01-01 01:36:00
98,1081,iPhone 14,2022-01-01 01:37:00
99,1052,MacBook 16,2022-01-01 01:38:00
100,1023,MacBook Air,2022-01-01 01:39:00
101,1025,iPhone 14,2022-01-01 01:40:00
102,1088,MacBook Pro,2022-01-01 01:41:00
103,1059,iPad 9,2022-01-01 01:42:00
104,1040,iPad 9,2022-01-01 01:43:00
105,1028,HomePod,2022-01-01 01:44:00
106,1014,MacBook Air,2022-01-01 01:45:00
107,1044,iMac,2022-01-01 01:46:00
108,1064,AirPods,2022-01-01 01:47:00
109,1088,iPad 9,2022-01-01 01:48:00
110,1070,iPad 9,2022-01-01 01:49:00
111,1008,iMac,2022-01-01 01:50:00
112,1087,MacBook Air,2022-01-01 01:51:00
113,1000,MacBook Pro,2022-01-01 01:52:00
114,1007,MacBook 16,2022-01-01 01:53:00
115,1087,HomePod,2022-01-01 01:54:00
116,1062,Apple Watch,2022-01-01 01:55:00
117,1010,AirPods Max,2022-01-01 01:56:00
118,1080,iPad 9,2022-01-01 01:57:00
119,1007,MacBook 16,2022-01-01 01:58:00
120,1034,MacBook Air,2022-01-01 01:59:00
121,1034,iMac,2022-01-01 02:00:00
122,1032,Magic Keyboard,2022-01-01 02:01:00
123,1004,iMac,2022-01-01 02:02:00
124,1040,AirPods Max,2022-01-01 02:03:00
125,1027,AirPods Max,2022-01-01 02:04:00
126,1006,iPad Pro,2022-01-01 02:05:00
127,1072,Apple Watch,2022-01-01 02:06:00
128,1071,iPad Mini,2022-01-01 02:07:00
129,1011,Mac Mini,2022-01-01 02:08:00
130,1033,HomePod,2022-01-01 02:09:00
131,1032,MacBook 16,2022-01-01 02:10:00
132,1047,Mac Mini,2022-01-01 02:11:00
133,1022,iPhone 12,2022-01-01 02:12:00
134,1061,Mac Mini,2022-01-01 02:13:00
135,1087,iPhone SE,2022-01-01 02:14:00
136,1036,iPhone 12,2022-01-01 02:15:00
137,1098,iMac,2022-01-01 02:16:00
138,1043,iMac,2022-01-01 02:17:00
139,1085,MacBook Air,2022-01-01 02:18:00
140,1090,Apple Pencil,2022-01-01 02:19:00
141,1034,HomePod,2022-01-01 02:20:00
142,1064,iPhone 12,2022-01-01 02:21:00
143,1098,iPhone 12,2022-01-01 02:22:00
144,1046,iPhone 14,2022-01-01 02:23:00
145,1077,MacBook 16,2022-01-01 02:24:00
146,1002,Apple Watch,2022-01-01 02:25:00
147,1000,iPad 9,2022-01-01 02:26:00
148,1004,iPhone SE,2022-01-01 02:27:00
149,1089,MacBook Air,2022-01-01 02:28:00
150,1013,iPad Mini,2022-01-01 02:29:00
151,1026,HomePod,2022-01-01 02:30:00
152,1008,AirTag,2022-01-01 02:31:00
153,1078,MacBook Air,2022-01-01 02:32:00
154,1014,Magic Keyboard,2022-01-01 02:33:00
155,1089,MacBook Air,2022-01-01 02:34:00
156,1041,iPad Pro,2022-01-01 02:35:00
157,1076,iPhone SE,2022-01-01 02:36:00
158,1050,HomePod,2022-01-01 02:37:00
159,1062,Magic Keyboard,2022-01-01 02:38:00
160,1095,AirPods Pro,2022-01-01 02:39:00
161,1051,Apple Watch,2022-01-01 02:40:00
162,1095,Apple Pencil,2022-01-01 02:41:00
163,1003,MacBook Air,2022-01-01 02:42:00
164,1093,Apple Watch,2022-01-01 02:43:00
165,1022,Apple Watch,2022-01-01 02:44:00
166,1014,MacBook Pro,2022-01-01 02:45:00
167,1042,MacBook 16,2022-01-01 02:46:00
168,1028,MacBook Pro,2022-01-01 02:47:00
169,1035,AirPods Max,2022-01-01 02:48:00
170,1012,AirPods Pro,2022-01-01 02:49:00
171,1031,iPad 9,2022-01-01 02:50:00
172,1070,iPhone 14,2022-01-01 02:51:00
173,1058,AirPods,2022-01-01 02:52:00
174,1085,iMac,2022-01-01 02:53:00
175,1027,HomePod,2022-01-01 02:54:00
176,1065,MacBook 16,2022-01-01 02:55:00
177,1041,iPhone 13,2022-01-01 02:56:00
178,1044,Magic Keyboard,2022-01-01 02:57:00
179,1061,iPad Pro,2022-01-01 02:58:00
180,1056,MacBook Air,2022-01-01 02:59:00
